Name,Date,Oil Vol,Gas Vol,Water Vol,On-Line,Av BHP,Spot BHP,Av BHT,Av WHP,total rate,Total Vol
PA01,2006-01-18,10137.9698831799,3.649669157944764,0.0,24.0,1306.8955332438152,1306.8955332438152,71.04346815745036,11.706617176532745,10137.9698831799,10137.9698831799
PA01,2006-01-19,10284.588362348783,3.7024518104455617,0.0,24.0,1300.3207092285156,1300.3207092285156,71.03072945276897,11.66010489066442,10284.588362348783,10284.588362348783
PA01,2006-01-20,10166.182575099192,3.659825727035709,0.0,24.0,1295.7136561075847,1295.7136561075847,71.03817796707153,11.67298815647761,10166.182575099192,10166.182575099192
PA01,2006-01-21,10761.5686956883,3.874164730447788,0.0,24.0,1270.4212824503581,1270.4212824503581,70.99676656723022,13.11411472161611,10761.5686956883,10761.5686956883
PA01,2006-01-22,10066.976950939748,3.6241117023383094,0.0,24.0,1276.9630228678386,1276.9630228678386,71.0119415918986,14.28737368186315,10066.976950939748,10066.976950939748
PA01,2006-01-23,11441.038834492487,4.118773980417295,0.0,24.0,1208.1704661051433,1208.1704661051433,71.02448415756226,15.99811565876007,11441.038834492487,11441.038834492487
PA01,2006-01-24,10463.515909612719,3.766865727460579,0.0,22.0,1243.9383290608723,1243.9383290608723,71.03804111480713,14.458430469036102,10463.515909612719,10463.515909612719
PA01,2006-01-25,10076.608850873068,3.6275791863143043,0.0,22.0,1377.4292856852214,1377.4292856852214,70.76172876358032,14.460563997427622,10076.608850873068,10076.608850873068
PA01,2006-01-26,11718.36809654606,4.218612514756582,0.0,24.0,1199.2134094238281,1199.2134094238281,71.02427546183269,16.086784442265827,11718.36809654606,11718.36809654606
PA01,2006-01-27,11530.228268808369,4.150882176771012,0.0,24.0,1189.4088846842449,1189.4088846842449,71.02111911773682,16.06444412469864,11530.228268808369,11530.228268808369
PA01,2006-01-28,11731.202995285308,4.223233078302711,0.0,24.0,1183.2303848266602,1183.2303848266602,71.01148160298665,15.992777486642202,11731.202995285308,11731.202995285308
PA01,2006-01-29,11554.780090731805,4.15972083266345,0.0,24.0,1177.6933695475261,1177.6933695475261,71.01097265879314,15.907989263534546,11554.780090731805,11554.780090731805
PA01,2006-01-30,10661.31623313333,3.8380738439279987,0.0,24.0,1280.3811848958333,1280.3811848958333,70.97707748413086,13.916702409585318,10661.31623313333,10661.31623313333
PA01,2006-01-31,11433.124284294727,4.115924742346102,0.0,24.0,1193.5269724527996,1193.5269724527996,70.98585526148479,15.835282464822134,11433.124284294727,11433.124284294727
PA01,2006-02-01,11788.332450844247,4.243799682303929,0.0,24.0,1164.0372823079426,1164.0372823079426,71.00418774286906,16.908697923024494,11788.332450844247,11788.332450844247
PA01,2006-02-02,11646.938680880774,4.192897925117078,0.0,24.0,1158.5089670817058,1158.5089670817058,70.99640766779582,16.88874610265096,11646.938680880774,11646.938680880774
PA01,2006-02-03,11713.867715955637,4.216992377744029,0.0,24.0,1154.796709696452,1154.796709696452,70.98762051264445,16.816676060358684,11713.867715955637,11713.867715955637
PA01,2006-02-04,11665.974029108078,4.199750650478908,0.0,24.0,1151.6819508870442,1151.6819508870442,70.98659213383992,16.737974524497986,11665.974029108078,11665.974029108078
PA01,2006-02-05,11624.827485548136,4.184937894797329,0.0,24.0,1148.3000996907551,1148.3000996907551,70.98541593551636,16.74279574553172,11624.827485548136,11624.827485548136
